0,greater
1,said
2,don
3,2002
4,noted
5,ours
6,its
7,time
8,over
9,firstly
10,racked
11,scheme
12,created
13,declined
14,7pc
15,commission
16,propertybubbleinduced
17,secondly
18,going
19,asset
20,swedish
21,told
22,international
23,he
24,1990
25,indicated
26,loan
27,anese
28,system
29,price
30,european
31,1985
32,each
33,nationalising
34,warned
35,biggest
36,15
37,16
38,date
39,throughthecycle
40,1996
41,figure
42,guidelines
43,1993
44,current
45,runaway
46,crisis
47,favour
48,ignore
49,ensure
50,longterm
51,rubbished
52,sweden
53,debt
54,a
55,taking
56,up
57,i
58,recovered
59,t
60,intervene
61,s
62,lundgren
63,maintained
64,world
65,banks
66,to
67,deregulation
68,fiscal
69,took
70,half
71,by
72,good
73,stemming
74,irish
75,ended
76,capital
77,has
78,must
79,amount
80,transparency
81,bo
82,values
83,would
84,affairs
85,jap
86,estimated
87,future
88,any
89,losses
90,bank
91,key
92,be
93,financial
94,valued
95,packages
96,get
97,whose
98,impression
99,behind
100,yesterday
101,writedowns
102,nordenbank
103,socalled
104,economic
105,and
106,that
107,assets
108,than
109,doing
110,got
111,restored
112,early
113,oireachtas
114,crunch
115,set
116,gdp
117,stimulus
118,former
119,through
120,marktomarket
121,gradual
122,following
123,possible
124,tale
125,nama
126,introducing
127,taxpayers
128,all
129,institution
130,spanned
131,lending
132,injected
133,at
134,as
135,still
136,you
137,recovery
138,expected
139,which
140,anything
141,an
142,meeting
143,success
144,out
145,specifically
146,ireland
147,for
148,rescue
149,risky
150,privatisation
151,of
152,are
153,correct
154,on
155,commercial
156,central
157,move
158,liquidity
159,problems
160,or
161,national
162,done
163,hopes
164,minister
165,again
166,bad
167,weren
168,20bn
169,not
170,earlier
171,committee
172,now
173,them
174,will
175,years
176,strict
177,comment
178,pumped
179,stemmed
180,put
181,according
182,blanket
183,money
184,rather
185,september
186,similar
187,just
188,25bn
189,mr
190,mildly
191,confidence
192,suggestions
193,should
194,product
195,loans
196,dividends
197,really
198,reserves
199,improvement
200,recapitalised
201,based
202,gota
203,sector
204,but
205,minimise
206,last
207,valuations
208,been
209,65bn
210,almost
211,35bn
212,value
213,tokyo
214,three
215,4pc
216,fund
217,head
218,credit
219,1990s
220,marked
221,property
222,market
223,restore
224,called
225,11bn
226,monetary
227,included
228,management
229,equivalent
230,gross
231,allow
232,have
233,thirdly
234,currently
235,highlighted
236,from
237,cautionary
238,recent
239,was
240,order
241,nordea
242,during
243,nordenbanken
244,if
245,90bn
246,banking
247,mean
248,won
249,between
250,quickest
251,bondholders
252,office
253,with
254,is
255,it
256,added
257,your
258,recouped
259,into
260,agency
261,the
262,domestic
263,in
264,around
265,two
266,governments
267,prices
268,guarantee
269,things
270,shaw
271,need
272,no
273,opensource
274,compete
275,open
276,2010
277,programs
278,os
279,companies
280,prevent
281,available
282,largest
283,operating
284,viruses
285,lot
286,we
287,frank
288,google
289,chrome
290,run
291,clear
292,computers
293,washingtonbased
294,designed
295,browser
296,post
297,lowcost
298,web
299,meaning
300,developers
301,new
302,challenge
303,having
304,users
305,second
306,where
307,after
308,software
309,hear
310,were
311,deal
312,systems
313,work
314,wordprocessing
315,internetsearch
316,consumers
317,offering
318,code
319,spreadsheet
320,better
321,program
322,company
323,browsers
324,mobile
325,redmond
326,android
327,bloomberg
328,era
329,security
330,blog
331,phones
332,microsoft
333,online
334,initially
335,intensifies
336,top
337,separate
338,updates
339,laptops
340,maker
341,spokesman
342,addition
343,linux
344,message
345,plan
346,netbooks
347,there
348,their
349,first
350,also
351,our
352,competition
353,total
354,bands
355,passed
356,received
357,managing
358,accounting
359,until
360,whether
361,year
362,government
363,these
364,asked
365,information
366,books
367,deliberated
368,form
369,preparation
370,vote
371,heads
372,under
373,apace
374,25
375,director
376,haircuts
377,planning
378,say
379,month
380,continues
381,institutions
382,next
383,outline
384,six
385,namabound
386,absolute
387,document
388,left
389,end
390,completed
391,experts
392,transfers
393,unveiling
394,later
395,officials
396,legislation
397,recess
398,established
399,already
400,lenders
401,weeks
402,represent
403,familiar
404,upcoming
405,additional
406,transferred
407,recall
408,stateguaranteed
409,finance
410,ago
411,publishing
412,relating
413,meanwhile
414,basis
415,destined
416,middle
417,sources
418,releasing
419,faced
420,his
421,bankrolled
422,45bn
423,understood
424,when
425,pave
426,taken
427,had
428,370
429,team
430,intends
431,interim
432,country
433,require
434,release
435,this
436,societies
437,mcdonagh
438,bill
439,department
440,about
441,way
442,details
443,extent
444,full
445,building
446,fill
447,ahead
448,cabinet
449,brendan
450,rules
451,ruled
452,charge
453,take
454,clarity
455,summer
456,categories
457,auditing
458,50
459,sovereign
460,deposit
461,158
462,avoid
463,slid
464,stance
465,31pc
466,aaa
467,support
468,few
469,further
470,session
471,weakened
472,ratings
473,pain
474,aib
475,statebacked
476,life
477,quarters
478,do
479,downgrade
480,believes
481,note
482,ability
483,cuts
484,robust
485,downgraded
486,allied
487,aa1
488,p
489,stripped
490,cut
491,down
492,week
493,decline
494,boi
495,more
496,however
497,willingness
498,thursday
499,308
500,unsecured
501,statement
502,shares
503,permanent
504,underpin
505,moody
506,senior
507,large
508,result
509,lost
510,state
511,inflict
512,while
513,question
514,extended
515,il
516,past
517,41pc
518,wider
519,15pc
520,continue
521,rating
522,very
523,141
524,costly
525,2009
526,they
527,discussion
528,risks
529,buffers
530,french
531,addressed
532,lagarde
533,her
534,focus
535,right
536,brussels
537,46pc
538,deutschland
539,reported
540,services
541,75pc
542,board
543,overhaul
544,include
545,salaries
546,rose
547,iain
548,rotating
549,deutsche
550,reporting
551,charlie
552,saw
553,holds
554,ministers
555,big
556,instruments
557,review
558,anders
559,credibility
560,getting
561,press
562,idea
563,chartered
564,pressed
565,before
566,link
567,borg
568,short
569,gained
570,chiefs
571,times
572,commerzbank
573,union
574,portfolios
575,publish
576,reversed
577,want
578,stood
579,eu
580,absence
581,bankers
582,standards
583,institute
584,proposal
585,follows
586,concentrate
587,wales
588,change
589,monday
590,terms
591,climbed
592,accountants
593,changed
594,balance
595,sent
596,stave
597,christine
598,amplified
599,steinbrueck
600,flexibility
601,risktaking
602,counterpart
603,accountancy
604,prudential
605,letter
606,german
607,global
608,lack
609,much
610,accountant
611,controversial
